Gene	BF	Recall	Precision	FDR
RPSA	15.672	0.153	1.000	0.000
KIF2C	15.644	0.153	1.000	0.000
RTEL1	15.625	0.153	1.000	0.000
PRPF19	15.618	0.155	1.000	0.000
POLE	15.612	0.155	1.000	0.000
PSMD13	15.583	0.156	1.000	0.000
HSPA14	15.570	0.156	1.000	0.000
CTDNEP1	15.562	0.156	1.000	0.000
PSMA3	15.551	0.158	1.000	0.000
RFC5	15.526	0.159	1.000	0.000
ELAC2	15.473	0.161	1.000	0.000
TCP1	15.465	0.163	1.000	0.000
CHCHD4	15.432	0.163	1.000	0.000
RPL8	15.410	0.164	1.000	0.000
NOC2L	15.394	0.164	1.000	0.000
GGPS1	15.387	0.166	1.000	0.000
PPP1R8	15.377	0.166	1.000	0.000
KMT2A	15.371	0.166	1.000	0.000
PAXBP1	15.346	0.166	1.000	0.000
DDX11	15.305	0.166	1.000	0.000
MCM10	15.292	0.166	1.000	0.000
LONP1	15.261	0.167	1.000	0.000
RANGAP1	15.212	0.169	1.000	0.000
THOC1	15.210	0.169	1.000	0.000
CCNH	15.189	0.170	1.000	0.000
CIAO1	15.167	0.172	1.000	0.000
UTP15	15.139	0.173	1.000	0.000
ITGB5	15.110	0.173	1.000	0.000
SYS1	15.076	0.175	1.000	0.000
MEN1	15.063	0.175	1.000	0.000
C12orf45	15.050	0.175	1.000	0.000
CYFIP1	15.017	0.175	1.000	0.000
HDAC3	15.016	0.177	1.000	0.000
UBL5	15.011	0.178	1.000	0.000
RPL28	15.003	0.178	1.000	0.000
RPP21	14.995	0.180	1.000	0.000
LSM2	14.994	0.181	1.000	0.000
MCM6	14.975	0.181	1.000	0.000
TUBGCP2	14.953	0.183	1.000	0.000
SF3A2	14.942	0.184	1.000	0.000
DDB1	14.932	0.186	1.000	0.000
POLR1C	14.927	0.188	1.000	0.000
KTI12	14.922	0.188	1.000	0.000
THAP1	14.910	0.188	1.000	0.000
DDOST	14.910	0.189	1.000	0.000
EWSR1	14.900	0.189	1.000	0.000
POLR2L	14.900	0.191	1.000	0.000
THG1L	14.896	0.191	1.000	0.000
TONSL	14.887	0.192	1.000	0.000
PSMG3	14.887	0.194	1.000	0.000
CDC16	14.870	0.195	1.000	0.000
ARPC4	14.868	0.195	1.000	0.000
WDR36	14.853	0.195	1.000	0.000
PUF60	14.836	0.197	1.000	0.000
ZNHIT6	14.815	0.197	1.000	0.000
NOL8	14.811	0.197	1.000	0.000
FXN	14.805	0.197	1.000	0.000
RPS25	14.785	0.197	1.000	0.000
CCT3	14.775	0.198	1.000	0.000
GEMIN7	14.752	0.198	1.000	0.000
YAE1D1	14.734	0.198	1.000	0.000
NAA10	14.724	0.200	1.000	0.000
GLTSCR2	14.723	0.200	1.000	0.000
GNL3L	14.718	0.200	1.000	0.000
URB1	14.706	0.200	1.000	0.000
RPE	14.700	0.200	1.000	0.000
DDX51	14.686	0.200	1.000	0.000
PRPF3	14.663	0.200	1.000	0.000
PELP1	14.660	0.200	1.000	0.000
GNL3	14.608	0.202	1.000	0.000
RPS14	14.596	0.202	1.000	0.000
NIP7	14.550	0.203	1.000	0.000
EMC4	14.538	0.203	1.000	0.000
RNASEH2A	14.532	0.203	1.000	0.000
HUWE1	14.525	0.205	1.000	0.000
BAP1	14.519	0.205	1.000	0.000
PRPF38B	14.475	0.206	1.000	0.000
PTK2	14.462	0.206	1.000	0.000
SHOC2	14.460	0.206	1.000	0.000
DDX18	14.447	0.208	1.000	0.000
MED17	14.420	0.208	1.000	0.000
DIS3	14.420	0.209	1.000	0.000
NAA25	14.418	0.209	1.000	0.000
DHX35	14.366	0.209	1.000	0.000
RPL35A	14.354	0.211	1.000	0.000
EXOSC1	14.350	0.211	1.000	0.000
RPL13A	14.344	0.211	1.000	0.000
TXNL4B	14.340	0.211	1.000	0.000
NUP62	14.335	0.211	1.000	0.000
YKT6	14.333	0.211	1.000	0.000
SOD2	14.332	0.211	1.000	0.000
RNGTT	14.317	0.212	1.000	0.000
VCP	14.311	0.214	1.000	0.000
PRPF38A	14.296	0.216	1.000	0.000
LARS	14.292	0.217	1.000	0.000
MAK16	14.289	0.219	1.000	0.000
NONO	14.282	0.219	1.000	0.000
DRD5	14.271	0.219	1.000	0.000
UTP3	14.259	0.219	1.000	0.000
PES1	14.258	0.219	1.000	0.000
NVL	14.258	0.220	1.000	0.000
ABCC6	14.258	0.220	1.000	0.000
WDR4	14.249	0.220	1.000	0.000
SDE2	14.242	0.220	1.000	0.000
HNRNPL	14.224	0.222	1.000	0.000
GNA12	14.220	0.222	1.000	0.000
PDPK1	14.218	0.222	1.000	0.000
NCF1	14.174	0.222	1.000	0.000
SBDS	14.145	0.222	1.000	0.000
NOL11	14.136	0.223	1.000	0.000
DDX6	14.134	0.223	1.000	0.000
PSMA5	14.121	0.225	1.000	0.000
ZBTB11	14.113	0.225	1.000	0.000
DPAGT1	14.095	0.227	1.000	0.000
DTL	14.056	0.228	1.000	0.000
ELMO2	14.031	0.228	1.000	0.000
MOCS3	14.012	0.228	1.000	0.000
IPO13	14.011	0.230	1.000	0.000
THOC7	13.989	0.230	1.000	0.000
TSEN54	13.988	0.230	1.000	0.000
EMC1	13.976	0.230	1.000	0.000
AHCTF1	13.973	0.230	1.000	0.000
PDCD7	13.923	0.230	1.000	0.000
RPS18	13.898	0.231	1.000	0.000
DKC1	13.887	0.233	1.000	0.000
HMGCR	13.870	0.233	1.000	0.000
PRC1	13.866	0.233	1.000	0.000
ATP6AP2	13.858	0.233	1.000	0.000
KLF16	13.847	0.233	1.000	0.000
NHP2L1	13.842	0.233	1.000	0.000
RPA2	13.837	0.234	1.000	0.000
LYRM4	13.837	0.234	1.000	0.000
DDX52	13.826	0.234	1.000	0.000
TPI1	13.812	0.234	1.000	0.000
ATP6V1F	13.786	0.234	1.000	0.000
GABPA	13.769	0.236	1.000	0.000
SRSF1	13.763	0.237	1.000	0.000
HMGCS1	13.757	0.237	1.000	0.000
MFAP1	13.733	0.237	1.000	0.000
CCDC93	13.726	0.237	1.000	0.000
TIMM23	13.717	0.239	1.000	0.000
GTPBP4	13.679	0.241	1.000	0.000
ZZZ3	13.672	0.241	1.000	0.000
C19orf52	13.669	0.241	1.000	0.000
WDR77	13.634	0.242	1.000	0.000
CDK4	13.619	0.242	1.000	0.000
AASDHPPT	13.602	0.242	1.000	0.000
C1QBP	13.589	0.242	1.000	0.000
COMMD4	13.566	0.242	1.000	0.000
POLR3A	13.560	0.244	1.000	0.000
SNRPA1	13.559	0.245	1.000	0.000
NOLC1	13.533	0.245	1.000	0.000
LUC7L3	13.527	0.247	1.000	0.000
PDCL	13.511	0.247	1.000	0.000
TRIM43	13.480	0.247	0.994	0.006
KHSRP	13.472	0.247	0.994	0.006
HSPA9	13.447	0.248	0.994	0.006
DYNC1I2	13.426	0.250	0.994	0.006
CEBPZ	13.389	0.252	0.994	0.006
LSM11	13.368	0.253	0.994	0.006
C14orf80	13.354	0.253	0.994	0.006
ATP2A2	13.321	0.255	0.994	0.006
CHORDC1	13.311	0.255	0.994	0.006
NOL10	13.301	0.256	0.994	0.006
DPH5	13.282	0.256	0.994	0.006
LIAS	13.275	0.256	0.994	0.006
ZNHIT2	13.262	0.256	0.994	0.006
EIF4H	13.257	0.256	0.994	0.006
PCBP1	13.244	0.256	0.994	0.006
DROSHA	13.223	0.256	0.994	0.006
RRM1	13.206	0.258	0.994	0.006
RPL35	13.205	0.259	0.994	0.006
WDR1	13.186	0.259	0.994	0.006
ABCE1	13.184	0.261	0.994	0.006
CHMP5	13.169	0.261	0.994	0.006
NHLRC2	13.163	0.261	0.994	0.006
WBP11	13.162	0.261	0.994	0.006
VPS29	13.157	0.261	0.994	0.006
ZC3H8	13.143	0.261	0.994	0.006
TIMM10	13.127	0.263	0.994	0.006
TAF6	13.121	0.264	0.994	0.006
NSMCE1	13.109	0.264	0.994	0.006
C10orf2	13.106	0.264	0.994	0.006
RNMT	13.098	0.264	0.994	0.006
TAF1C	13.097	0.264	0.994	0.006
MZT1	13.084	0.264	0.994	0.006
SSU72	13.079	0.266	0.994	0.006
TBCA	13.071	0.266	0.994	0.006
AATF	13.070	0.266	0.994	0.006
POP5	13.065	0.267	0.994	0.006
HAUS8	13.057	0.267	0.994	0.006
RPA1	13.054	0.269	0.994	0.006
NDUFAB1	13.050	0.269	0.994	0.006
UTP14A	13.025	0.269	0.994	0.006
OTUD5	13.023	0.269	0.994	0.006
TUBD1	13.021	0.269	0.994	0.006
MRPL45	13.012	0.270	0.994	0.006
SDAD1	13.006	0.272	0.994	0.006
POT1	12.995	0.272	0.994	0.006
PTPN23	12.986	0.273	0.994	0.006
URB2	12.977	0.273	0.994	0.006
ILK	12.976	0.273	0.994	0.006
MNAT1	12.912	0.273	0.994	0.006
EIF3D	12.905	0.275	0.994	0.006
UTP18	12.899	0.275	0.994	0.006
DSCC1	12.853	0.275	0.994	0.006
SMC6	12.834	0.275	0.994	0.006
SRSF3	12.817	0.277	0.994	0.006
NGDN	12.804	0.277	0.994	0.006
TAMM41	12.796	0.277	0.994	0.006
POLA2	12.786	0.278	0.994	0.006
HEATR1	12.778	0.280	0.994	0.006
QARS	12.754	0.281	0.994	0.006
VPS52	12.753	0.281	0.994	0.006
DTYMK	12.746	0.283	0.995	0.005
PNPT1	12.727	0.283	0.995	0.005
TADA2A	12.722	0.283	0.995	0.005
TIMM13	12.710	0.284	0.995	0.005
DDX41	12.695	0.286	0.995	0.005
KIF18A	12.693	0.286	0.995	0.005
RBBP5	12.628	0.286	0.995	0.005
XPO1	12.615	0.287	0.995	0.005
CCT4	12.615	0.289	0.995	0.005
WRAP53	12.610	0.289	0.995	0.005
EIF3F	12.606	0.289	0.995	0.005
EXOC5	12.597	0.289	0.995	0.005
MCRS1	12.572	0.289	0.995	0.005
N6AMT1	12.568	0.289	0.995	0.005
SAMM50	12.548	0.291	0.995	0.005
USP5	12.535	0.292	0.995	0.005
USP39	12.502	0.294	0.995	0.005
RPTOR	12.486	0.294	0.995	0.005
LTV1	12.484	0.294	0.995	0.005
ARPC3	12.468	0.294	0.995	0.005
RPP25L	12.463	0.294	0.995	0.005
MED21	12.455	0.294	0.995	0.005
DHX37	12.451	0.295	0.995	0.005
TRAIP	12.449	0.295	0.995	0.005
EIF2S2	12.437	0.297	0.995	0.005
CLTC	12.418	0.298	0.995	0.005
PSMA6	12.416	0.300	0.995	0.005
BCCIP	12.399	0.300	0.995	0.005
AQR	12.386	0.302	0.995	0.005
USP8	12.383	0.302	0.995	0.005
POLR2I	12.373	0.303	0.995	0.005
VPS45	12.359	0.303	0.995	0.005
RPL36	12.359	0.305	0.995	0.005
RPS9	12.346	0.305	0.995	0.005
TERF2	12.336	0.305	0.995	0.005
NUP155	12.322	0.306	0.995	0.005
IMP4	12.322	0.308	0.995	0.005
RUVBL2	12.297	0.309	0.995	0.005
CNOT2	12.297	0.309	0.995	0.005
LAMP1	12.273	0.309	0.995	0.005
MMGT1	12.260	0.309	0.995	0.005
DHX36	12.244	0.309	0.995	0.005
C21orf59	12.227	0.309	0.995	0.005
TUBE1	12.222	0.309	0.995	0.005
TTC1	12.204	0.311	0.995	0.005
PRPF8	12.202	0.312	0.995	0.005
OGT	12.201	0.314	0.995	0.005
TOP2A	12.192	0.316	0.995	0.005
NAA35	12.174	0.316	0.995	0.005
ACTR8	12.163	0.316	0.995	0.005
CLNS1A	12.137	0.317	0.995	0.005
WDR3	12.131	0.319	0.995	0.005
PPP1R11	12.116	0.319	0.995	0.005
COPB2	12.100	0.320	0.995	0.005
CDC20	12.089	0.322	0.995	0.005
RPAP1	12.082	0.322	0.995	0.005
SRBD1	12.076	0.323	0.995	0.005
PRPF40A	12.062	0.323	0.995	0.005
CRNKL1	12.056	0.325	0.995	0.005
REXO1	12.042	0.325	0.995	0.005
EIF2B2	12.030	0.325	0.995	0.005
ELP4	12.028	0.325	0.995	0.005
ELP3	12.024	0.325	0.995	0.005
CRK	12.007	0.325	0.995	0.005
COPB1	11.981	0.327	0.995	0.005
ELP6	11.974	0.327	0.995	0.005
WDR43	11.937	0.328	0.995	0.005
PSMD7	11.921	0.328	0.995	0.005
INTS12	11.899	0.328	0.995	0.005
HAUS1	11.890	0.330	0.995	0.005
UQCRH	11.888	0.330	0.995	0.005
CCNA2	11.878	0.331	0.995	0.005
LIMS1	11.867	0.331	0.995	0.005
C11orf84	11.860	0.331	0.995	0.005
TRMT61A	11.853	0.331	0.995	0.005
URM1	11.846	0.331	0.995	0.005
DOCK7	11.839	0.331	0.995	0.005
WDR55	11.825	0.331	0.995	0.005
PI4KA	11.823	0.331	0.995	0.005
HTATSF1	11.813	0.331	0.995	0.005
MTBP	11.811	0.331	0.995	0.005
PLK1	11.795	0.333	0.995	0.005
C16orf80	11.789	0.333	0.995	0.005
TPRKB	11.774	0.333	0.995	0.005
MMS19	11.756	0.333	0.995	0.005
MDM4	11.751	0.333	0.995	0.005
OPA1	11.751	0.333	0.995	0.005
TRAPPC3	11.720	0.334	0.995	0.005
DHX33	11.715	0.336	0.995	0.005
DDX46	11.713	0.336	0.995	0.005
DDX23	11.713	0.336	0.995	0.005
MCM2	11.675	0.336	0.995	0.005
GPN1	11.672	0.336	0.995	0.005
SF3B5	11.649	0.338	0.995	0.005
TCOF1	11.627	0.338	0.995	0.005
RABGGTB	11.616	0.339	0.995	0.005
ENO1	11.592	0.339	0.995	0.005
TARS	11.584	0.341	0.995	0.005
EIF2B5	11.566	0.342	0.995	0.005
KRAS	11.514	0.342	0.995	0.005
REST	11.514	0.342	0.995	0.005
BIRC5	11.510	0.344	0.995	0.005
POLR2E	11.509	0.345	0.995	0.005
PGS1	11.500	0.345	0.995	0.005
WDR33	11.482	0.347	0.996	0.004
TRAPPC4	11.432	0.347	0.996	0.004
HSP90B1	11.428	0.347	0.996	0.004
TBCC	11.426	0.347	0.996	0.004
NRF1	11.394	0.347	0.996	0.004
IGBP1	11.385	0.348	0.996	0.004
RPS3	11.358	0.350	0.996	0.004
CENPN	11.332	0.350	0.996	0.004
ATP5B	11.327	0.350	0.996	0.004
RRP12	11.312	0.352	0.996	0.004
POLR3C	11.308	0.353	0.996	0.004
SKA2	11.279	0.353	0.996	0.004
GNL2	11.238	0.353	0.996	0.004
ATP6V1C1	11.236	0.353	0.996	0.004
TSR2	11.179	0.353	0.996	0.004
RPS5	11.178	0.355	0.996	0.004
HYPK	11.171	0.356	0.996	0.004
NAA40	11.170	0.356	0.996	0.004
TUBB	11.166	0.358	0.996	0.004
RPP30	11.157	0.358	0.996	0.004
ATXN7L3	11.155	0.358	0.996	0.004
ZC3HC1	11.144	0.358	0.996	0.004
CSE1L	11.144	0.359	0.996	0.004
NDE1	11.135	0.359	0.996	0.004
RPLP2	11.134	0.361	0.996	0.004
PLEKHM1	11.125	0.361	0.996	0.004
CSNK2B	11.120	0.361	0.996	0.004
DHX15	11.071	0.362	0.996	0.004
BYSL	11.070	0.364	0.996	0.004
SREK1	11.070	0.364	0.996	0.004
DCLRE1B	11.066	0.364	0.996	0.004
RNPC3	11.061	0.364	0.996	0.004
BRIX1	11.052	0.364	0.996	0.004
PLK4	11.032	0.364	0.996	0.004
ANAPC11	11.029	0.364	0.996	0.004
ROMO1	11.017	0.366	0.996	0.004
ALYREF	11.007	0.366	0.996	0.004
UBE2C	10.990	0.366	0.996	0.004
C16orf72	10.962	0.366	0.996	0.004
SMG1	10.956	0.366	0.996	0.004
UPF2	10.954	0.367	0.996	0.004
NOB1	10.941	0.367	0.996	0.004
EIF4G1	10.905	0.367	0.996	0.004
NOP2	10.905	0.369	0.996	0.004
CTR9	10.901	0.370	0.996	0.004
BRD2	10.894	0.370	0.996	0.004
RPL37A	10.869	0.372	0.996	0.004
EXOSC2	10.866	0.373	0.996	0.004
TSEN2	10.858	0.373	0.996	0.004
POLR1E	10.816	0.373	0.996	0.004
SEC63	10.814	0.373	0.996	0.004
VPS25	10.805	0.375	0.996	0.004
MYC	10.795	0.377	0.996	0.004
ACTL6A	10.787	0.378	0.996	0.004
ASUN	10.760	0.378	0.996	0.004
CDC23	10.758	0.378	0.996	0.004
NOP16	10.725	0.380	0.996	0.004
CPSF1	10.721	0.381	0.996	0.004
PCNA	10.711	0.383	0.996	0.004
EFTUD2	10.708	0.384	0.996	0.004
UBA52	10.707	0.386	0.996	0.004
HINFP	10.703	0.388	0.996	0.004
NCL	10.691	0.388	0.996	0.004
C18orf21	10.682	0.388	0.996	0.004
LSM5	10.669	0.388	0.996	0.004
DHX8	10.661	0.389	0.996	0.004
TOP3A	10.651	0.389	0.996	0.004
DND1	10.595	0.389	0.996	0.004
PFDN2	10.576	0.391	0.996	0.004
EIF3E	10.565	0.391	0.996	0.004
MATR3	10.562	0.391	0.996	0.004
UBE2H	10.552	0.391	0.996	0.004
NAA15	10.546	0.391	0.996	0.004
OXA1L	10.538	0.391	0.996	0.004
POLQ	10.535	0.391	0.996	0.004
AK2	10.527	0.391	0.996	0.004
PGGT1B	10.523	0.392	0.996	0.004
POLD3	10.510	0.392	0.996	0.004
EIF1AD	10.481	0.392	0.996	0.004
EIF3A	10.481	0.394	0.996	0.004
LSG1	10.475	0.395	0.996	0.004
C9orf78	10.473	0.395	0.996	0.004
POP1	10.459	0.397	0.996	0.004
PSMC5	10.439	0.398	0.996	0.004
SRRM1	10.426	0.400	0.996	0.004
RAD51	10.419	0.400	0.996	0.004
YAP1	10.413	0.400	0.996	0.004
RNPS1	10.409	0.400	0.996	0.004
RPLP1	10.406	0.402	0.996	0.004
ECT2	10.381	0.402	0.996	0.004
LTB4R2	10.375	0.402	0.996	0.004
NXF1	10.374	0.403	0.996	0.004
SF1	10.351	0.405	0.996	0.004
JMJD6	10.348	0.405	0.996	0.004
DDX54	10.342	0.405	0.996	0.004
PNO1	10.341	0.405	0.996	0.004
PPP4C	10.327	0.406	0.996	0.004
CLCC1	10.318	0.406	0.996	0.004
RIOK1	10.307	0.406	0.996	0.004
NUP160	10.263	0.408	0.996	0.004
CEND1	10.258	0.408	0.996	0.004
MCM3	10.241	0.409	0.996	0.004
TUBGCP4	10.234	0.409	0.996	0.004
MED10	10.200	0.409	0.996	0.004
PRKRIR	10.188	0.409	0.996	0.004
SPATA5	10.183	0.409	0.996	0.004
ABT1	10.169	0.409	0.996	0.004
DDX56	10.165	0.411	0.996	0.004
NUP133	10.151	0.412	0.996	0.004
TAF15	10.145	0.412	0.996	0.004
YARS	10.130	0.414	0.996	0.004
CDK2AP2	10.124	0.414	0.996	0.004
EIF4A1	10.123	0.414	0.996	0.004
CYB561A3	10.115	0.414	0.996	0.004
UBA1	10.115	0.416	0.996	0.004
